[pid] 19707
Overriding config with config/train_shakespeare.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-word'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare'
# gradient_accumulation_steps = 1
# gradient_accumulation_steps = 6
gradient_accumulation_steps = 12
batch_size = 12
# block_size = 256 # context of up to 256 previous characters
# block_size = 256 # context of up to 256 previous characters
block_size = 64 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

# learning_rate = 1e-3 # with baby networks can afford to go a bit higher
learning_rate = 1e-4 # with baby networks can afford to go a bit higher

# max_iters = 5000
# lr_decay_iters = 5000 # make equal to max_iters usually

max_iters = 500000
lr_decay_iters = 500000 # make equal to max_iters usually

min_lr = 1e-5 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model
# init_from ='resume'
Overriding: method = 12
Overriding: init_from = resume
tokens per iteration will be: 9,216
Resuming training from out-shakespeare-word-CM01-adamw-method12
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
GPTConfig(block_size=64, vocab_size=50304, n_layer=6, n_head=6, n_embd=384, dropout=0.2, bias=False, share_kv=False, optimizer='adamw', method=12, is_causal=True, use_dropout=0)
number of parameters: 19.46M
num decayed parameter tensors: 7, with 19,479,552 parameters
num non-decayed parameter tensors: 1, with 384 parameters
using fused AdamW: True
step 500: train loss 5.2493, val loss 5.5728
iter 500: loss 5.4211, loss_eval:5.4211  time 10880.52ms, mfu -100.00%
iter 510: loss 5.2750, loss_eval:5.2750  time 533.88ms, mfu 0.66%
iter 520: loss 5.3983, loss_eval:5.3983  time 533.80ms, mfu 0.66%
iter 530: loss 5.2783, loss_eval:5.2783  time 533.74ms, mfu 0.66%
iter 540: loss 4.9306, loss_eval:4.9306  time 533.90ms, mfu 0.66%
iter 550: loss 4.9943, loss_eval:4.9943  time 533.82ms, mfu 0.66%
iter 560: loss 5.1374, loss_eval:5.1374  time 533.80ms, mfu 0.66%
iter 570: loss 4.9761, loss_eval:4.9761  time 533.90ms, mfu 0.66%
iter 580: loss 5.0370, loss_eval:5.0370  time 533.74ms, mfu 0.66%
iter 590: loss 4.9433, loss_eval:4.9433  time 533.71ms, mfu 0.66%
iter 600: loss 5.1277, loss_eval:5.1277  time 533.75ms, mfu 0.66%
iter 610: loss 5.0329, loss_eval:5.0329  time 533.71ms, mfu 0.66%
iter 620: loss 4.8601, loss_eval:4.8601  time 533.71ms, mfu 0.66%
iter 630: loss 5.1339, loss_eval:5.1339  time 533.72ms, mfu 0.66%
iter 640: loss 4.8464, loss_eval:4.8464  time 533.73ms, mfu 0.66%
iter 650: loss 5.1330, loss_eval:5.1330  time 533.76ms, mfu 0.66%
iter 660: loss 4.8705, loss_eval:4.8705  time 533.73ms, mfu 0.66%
iter 670: loss 4.8165, loss_eval:4.8165  time 533.79ms, mfu 0.66%
iter 680: loss 4.7409, loss_eval:4.7409  time 533.82ms, mfu 0.66%
iter 690: loss 5.0693, loss_eval:5.0693  time 533.79ms, mfu 0.66%
iter 700: loss 4.8124, loss_eval:4.8124  time 533.77ms, mfu 0.66%
iter 710: loss 4.4504, loss_eval:4.4504  time 533.76ms, mfu 0.66%
iter 720: loss 4.6130, loss_eval:4.6130  time 533.86ms, mfu 0.66%
iter 730: loss 4.8866, loss_eval:4.8866  time 533.75ms, mfu 0.66%
iter 740: loss 4.7871, loss_eval:4.7871  time 533.73ms, mfu 0.66%
step 750: train loss 4.7312, val loss 5.2257
saving checkpoint to out-shakespeare-word-CM01-adamw-method12
iter 750: loss 4.7665, loss_eval:4.7665  time 10990.38ms, mfu 0.59%
iter 760: loss 4.5669, loss_eval:4.5669  time 533.90ms, mfu 0.60%
iter 770: loss 4.9311, loss_eval:4.9311  time 533.78ms, mfu 0.61%
iter 780: loss 4.4985, loss_eval:4.4985  time 533.80ms, mfu 0.61%
iter 790: loss 4.1922, loss_eval:4.1922  time 533.84ms, mfu 0.61%
iter 800: loss 4.7595, loss_eval:4.7595  time 533.86ms, mfu 0.62%
iter 810: loss 4.8150, loss_eval:4.8150  time 533.75ms, mfu 0.62%
iter 820: loss 4.7402, loss_eval:4.7402  time 533.87ms, mfu 0.63%
iter 830: loss 4.5452, loss_eval:4.5452  time 533.81ms, mfu 0.63%
iter 840: loss 4.7160, loss_eval:4.7160  time 533.73ms, mfu 0.63%
iter 850: loss 4.8929, loss_eval:4.8929  time 533.78ms, mfu 0.63%
iter 860: loss 4.5544, loss_eval:4.5544  time 533.85ms, mfu 0.64%
